utmx,utmy,X,Y,Depression_prevelence,PopulationDensity,Population65,NoHealthInsurance,Neighbor_Disadvantage,NatureParks,DrinkingPlaces
4286783.708,4675299.723,-82.686761,34.652742,23.10000038,119.294,17.31,8.1,-0.285620314,15.176445,7.412743
4278522.324,4669593.545,-82.778387,34.640914,23.79999924,298.7738,17.12,11.94,-0.061157111,13.874804,4.632397
4280519.342,4660188.169,-82.799414,34.56959,23.29999924,201.6011,21.38,5.58,-0.296879494,16.685011,8.811787
4275421.032,4650423.416,-82.880795,34.51918,23.79999924,114.0566,24.14,10.97,-0.27624133,12.144801,6.316027
4285298.699,4649853.731,-82.800906,34.482688,23.29999924,445.4777,21.78,7.49,-0.719574551,14.260076,6.894236
4288835.67,4659852.182,-82.731618,34.539778,24.10000038,750.6609,18.74,8.24,-0.447384996,14.371698,6.665407
4290966.684,4663116.986,-82.700857,34.555165,22.29999924,723.0842,23.7,6.62,-0.385295949,14.160214,6.895479
4294963.768,4669200.524,-82.643291,34.583703,20.89999962,517.4454,20.15,5.12,-0.891326036,16.891779,12.473912
4300613.593,4668252.54,-82.600214,34.55845,22.10000038,699.5321,17.78,4.89,-0.660568399,15.584977,13.122854
4311078.036,4660435.085,-82.544831,34.470126,23.60000038,145.0526,20.2,4.94,-0.303661099,16.021401,6.13111
4312608.666,4667614.863,-82.503388,34.514255,24.10000038,602.9133,18.44,9.07,-0.139925376,17.542334,3.120876
4324619.769,4666327.3,-82.409235,34.465532,24.20000076,136.9849,19.8,8.36,0.086886293,21.064267,3.746458
4318758.971,4652537.609,-82.512867,34.390551,25.20000076,66.78024,21.76,7.88,-0.042218719,13.255505,5.617492
4307329.588,4635686.777,-82.674495,34.312675,24.89999962,71.86788,19.4,11.23,0.100402258,11.528583,4.225668
4305979.043,4649975.185,-82.62884,34.415246,25.79999924,190.6039,18.7,13.57,0.17583974,10.751112,3.425898
4304510.319,4656260.641,-82.615919,34.463245,23.10000038,526.5288,17.31,14.38,0.96673103,10.347876,3.080079
4292097.876,4657747.678,-82.712934,34.514522,23.5,1179.791,17.88,4.01,-0.419796324,18.601504,6.460254
4292680.208,4653376.442,-82.725551,34.482551,22.89999962,273.6445,19.46,7.02,-0.100632373,12.766472,5.740407
4294953.826,4642180.37,-82.751267,34.39807,26,87.82245,13.3,14.32,0.613155274,13.132879,5.206655
4301810.784,4661532.727,-82.617211,34.508367,24.70000076,978.9993,10.07,11.58,1.056102205,13.740616,6.17802
4515901.821,4592134.643,-81.149888,33.328141,19,64.98754,18.92,18.8,0.361955263,6.082001,1.423201
4538888.961,4589978.479,-80.97495,33.237563,20,47.91623,22.38,11.13,0.148974459,5.91656,1.375057
4524754.691,4573261.796,-81.153361,33.172225,20.89999962,14.32692,18.75,11.78,0.470470029,6.950197,1.247383
4543535.206,4573673.114,-81.002082,33.113036,20.20000076,13.42315,24.75,6.04,0.047656741,9.541074,3.047389
4487267.02,4587812.075,-81.396382,33.393707,22.39999962,55.46013,16.54,14.33,0.917064929,10.323062,2.119417
4500817.121,4590783.813,-81.275965,33.368961,21,47.53242,18.79,10.9,0.860188325,7.025506,1.268526
4496466.639,4574342.84,-81.375426,33.272657,21.5,149.2939,17.76,7.09,1.246250938,12.03348,2.267392
4508288.762,4574676.587,-81.279415,33.235984,21.89999962,83.38834,18.84,12.33,-0.515998055,24.683526,5.26013
4500768.71,4562543.205,-81.387081,33.179036,21.5,33.52826,17.11,12.68,0.654812424,12.187631,2.735867
4603401.448,4524245.968,-80.720646,32.586034,17.5,29.16699,26.6,6.23,-0.17708789,7.684873,1.470392
4605754.622,4512685.254,-80.746719,32.501255,20.20000076,328.8023,14.66,14.48,0.492395104,10.626801,1.304492
4603516.317,4506354.939,-80.788687,32.466317,23.39999962,1228.476,2.99,7.48,-0.524570497,11.151428,2.970561
4607483.274,4502978.376,-80.770434,32.430867,20,731.2527,11.07,11.67,0.266730368,12.833521,1.674157
4611953.479,4503213.348,-80.734376,32.41788,20.89999962,1216.573,9.23,12.94,0.47359256,11.564302,2.380983
4614017.928,4498696.609,-80.735477,32.381041,19.60000038,621.4951,15.68,12.05,-0.349971717,26.669392,3.808279
4615010.013,4508845.753,-80.688707,32.445464,19.79999924,899.2637,27.43,13.59,-0.262708222,34.57823,3.73454
4616572.668,4505493.951,-80.689315,32.418034,19.10000038,1698.497,21.09,8,-0.492496164,21.33318,3.588898
4617997.685,4501160.031,-80.694763,32.384511,20.89999962,2453.776,13.89,12.24,-0.041351502,17.957472,2.321056
4623874.869,4518286.517,-80.582714,32.479362,19,134.4235,22.63,12.67,-0.864944035,25.834608,5.750661
4620547.321,4511553.368,-80.634791,32.445428,20.10000038,769.6566,15.75,5.12,-0.10972684,19.149045,4.0061
4621871.312,4503436.094,-80.655612,32.387057,18.39999962,317.4853,22.92,13.65,-0.246102645,26.823143,6.700432
4630756.483,4513908.593,-80.545624,32.427743,17.5,185.3175,40.32,8.92,-0.380398025,8.555784,1.582583
4631664.994,4504129.204,-80.576138,32.359744,18.29999924,154.3904,19.88,18.52,0.084606092,9.103522,1.68264
4638867.906,4503107.947,-80.523647,32.329462,16.70000076,33.05894,60.66,1.73,-0.973274117,16.712657,8.488511
4615923.933,4459715.087,-80.868989,32.114641,18.60000038,41.22545,54.96,2.93,-1.26133737,24.520394,4.710297
4608032.666,4466385.339,-80.905725,32.184664,19.29999924,61.78982,28.26,9.92,-0.827373144,23.307015,9.76648
4598133.209,4471774.249,-80.963176,32.252652,19.79999924,815.3158,13.26,9.89,-0.94263453,22.557477,8.693184
4595324.792,4475559.682,-80.970915,32.287056,16.70000076,1483.718,78.88,3.59,-0.758069714,6.452995,2.284801
4600895.606,4477003.593,-80.921545,32.278717,20.10000038,906.985,16.56,8.81,-0.508054132,30.976057,11.934741
4604245.508,4474942.134,-80.90302,32.254105,19,1258.789,16.99,9.22,-0.722004264,22.818006,6.890507
4607435.57,4474888.589,-80.878129,32.243438,20.39999962,1518.652,6.36,21.58,-0.233050267,30.775639,5.803256
4614128.282,4474789.595,-80.825899,32.221142,20.39999962,505.1716,13.1,21.47,-0.790007981,24.752926,9.547154
4610933.99,4482091.624,-80.823196,32.280242,17.29999924,229.894,46.11,4.43,-0.884080211,16.542312,8.256246
4606296.785,4491217.503,-80.824823,32.356218,17.39999962,90.86427,43.14,4.12,-0.945365258,31.462371,5.850842
4620973.018,4464018.137,-80.813059,32.12711,16.79999924,624.947,57.66,2.07,-0.887467681,21.477444,7.514748
4621839.988,4468085.106,-80.79083,32.151462,16.39999962,836.5591,45.31,6.91,-0.586752244,16.197356,6.797878
4623815.245,4471491.596,-80.762397,32.167812,17.10000038,840.3433,40.43,10.46,-0.999051637,32.580867,12.820523
4622776.156,4475607.771,-80.754895,32.198632,18.60000038,847.9792,27.58,8.1,-0.585949728,33.151139,8.454243
4621084.034,4478275.832,-80.758015,32.221907,19.39999962,1361.838,19.98,18.88,-0.349884659,25.595644,7.466915
